,Host resumed
Homo sapiens,177
Rainbow trout,53
Sponge,27
Algae,24
Plankton,11
Duck,10
Sweetfish,10
Nematode,9
Frog,7
Tomato,6
Mosquito,5
Bottlenose dolphin,4
Dog,4
Turnip,4
Chicken,4
Sea urchin,4
Tilapia,3
Bee,3
Turkey,3
Silver poplar,3
Channel catfish,3
Nile tilapia,3
Musca domestica,3
Cow,2
Soybean,2
Nudibranch,2
Cat,2
Eastern cottonwood,2
Penguim,2
Sea cucumber,2
Bat,2
None,2
Dinoflagellate,2
Lyme grass,2
Marine diatom,2
Artic char,2
Seaweed,2
Freshwater diatom,2
Abalone,2
Environmental,2
Coho salmon,2
Barramundi,2
Penguin,2
Amur catfish,1
Thale cress,1
Olive fruit fly,1
Horse,1
Rhesus macaque,1
Pacific oyter,1
Oriental stork,1
Sea pea,1
Longfin eel,1
Sea snail,1
Seawater,1
Pig,1
Grass carp,1
Chinook salmon,1
Cape hake,1
Salmo trutta,1
Bastard halibut,1
Coral,1
Bivalve molluscs,1
Fava bean,1
Calf,1
Sea slug,1
Capsicum annuum,1
Warmwater fish,1
Switchgrass,1
Earthworm,1
Common carp,1
Pigeons,1
Trout,1
Bass,1
Fish,1
Masu salmon,1
Flounder,1
Sea anemone,1
Amphipod crustacean,1
Ostracean,1
Tunicate,1
Goose,1
Red swamp crayfish,1
Starfish,1
Anthozoan,1
Crayfish,1
Freshwater triclad,1
Halibut,1
Horseshoe crab,1
Lobster,1
Marine animal,1
Tea plant,1
Red seabream,1
Macroalgae,1
Potato,1
Unicellular flagellate,1
Pepper,1
Spyder,1
Smooth rattlebox,1
Gibbon,1
Cucumber,1
